id;question;answer
FAQ_06;Tôi muốn liên hệ CSKH thì làm sao?;Bạn có thể nhắn trực tiếp fanpage hoặc gọi hotline 1900-9999.
FAQ_07;Shop có chính sách đổi trả không?;Có, bạn được đổi trong 7 ngày nếu hàng lỗi hoặc sai mẫu.
FAQ_08;Tôi muốn góp ý với shop thì gửi ở đâu?;Bạn có thể gửi tại mục “Phản hồi khách hàng” trên website.
FAQ_09;Có thể đặt hàng qua điện thoại không?;Có, bạn gọi hotline để nhân viên hỗ trợ đặt giúp.
FAQ_10;Tôi có thể mua sỉ không?;Có, shop có chính sách giá sỉ cho đơn từ 20 sản phẩm trở lên.
BOOK_01;Sách mới ra có gì nổi bật?;Các tựa mới gồm tiểu thuyết, kỹ năng sống, và sách lập trình.
BOOK_02;Làm sao tìm sách theo thể loại?;Bạn vào mục “Thể loại” hoặc dùng thanh tìm kiếm ở đầu trang.
BOOK_03;Có sách tiếng Anh không?;Có, BookStore cung cấp nhiều đầu sách song ngữ và sách gốc.
BOOK_04;Thông tin sách Dám bị ghét;“Dám bị ghét” là sách triết lý Nhật Bản của Kishimi Ichiro & Koga Fumitake, khuyến khích sống tự do, tự tin.
BOOK_05;Thông tin sách Tuổi trẻ đáng giá bao nhiêu;“Tuổi trẻ đáng giá bao nhiêu” của Rosie Nguyễn, nói về hành trình phát triển bản thân của người trẻ.
BOOK_06;Có sách về lập trình không?;Có, đặc biệt là các sách về C#, Python, và AI.
BOOK_07;Khi nào có hàng tái bản?;Bạn có thể đăng ký “Báo khi có hàng” để nhận thông báo tái bản.
BOOK_08;Tôi muốn đặt trước sách sắp ra mắt.;Shop có mục “Pre-order” để bạn đặt trước và nhận ưu đãi.
BOOK_09;Có tặng kèm bookmark không?;Có, mỗi đơn hàng đều được tặng 1 bookmark ngẫu nhiên.
BOOK_10;Sách có được bọc plastic không?;Có, tất cả sách đều được bọc nilon bảo vệ trước khi giao.
